Here is the word count for every word in your song!

Song: FAITH
Artist: MADKID

Word                                                    Count 
---------------------------------------------------------------------
ticking                                                   1
reason                                                    1
bleeding                                                  1
scream                                                    1
your                                                      1
yeah                                                      4
fighting                                                  1
scene                                                     1
flashing                                                  1
honest                                                    2
sight                                                     1
proof                                                     4
hundreds                                                  6
truly                                                     1
reflects                                                  1
if                                                        2
you                                                       1
sky                                                       1
give                                                      3
still                                                     1
images                                                    1
im                                                        1
in                                                        8
gotta                                                     3
night                                                     1
want                                                      1
myself                                                   10
ah                                                        2
lose                                                      4
nothing                                                   1
understand                                                1
is                                                        2
come                                                      1
it                                                        8
being                                                     2
am                                                        1
glory                                                     1
even                                                      8
following                                                 2
millions                                                  6
much                                                      1
wind                                                      1
touched                                                   1
be                                                        2
blatka                                                    1
believe                                                   1
turn                                                      1
matter                                                    4
eyes                                                      1
footsteps                                                 2
out                                                       8
into                                                      1
how                                                       4
world                                                     5
are                                                       1
get                                                       3
zombie                                                    1
shout                                                     3
skrrr                                                     2
finger                                                    1
broken                                                    1
a                                                        11
silent                                                    3
chain                                                     1
break                                                     3
change                                                    7
i                                                        17
suppress                                                  3
many                                                      3
the                                                      13
tangled                                                   1
fly                                                       2
s                                                         1
glowing                                                   1
future                                                    1
to                                                        5
thing                                                     1
masterpiece                                                1
but                                                       2
existence                                                 3
lets                                                      3
that                                                      3
dopa                                                      1
leave                                                     1
find                                                      4
me                                                        3
scarred                                                   3
limit                                                     1
create                                                    3
from                                                      1
up                                                        6
blow                                                      1
wow                                                       1
always                                                    3
emotions                                                  1
eh                                                        1
like                                                      2
resist                                                    1
this                                                      3
ill                                                       2
wont                                                      4
real                                                      1
pressure                                                  1
my                                                        6
distorted                                                 3
never                                                     5
ending                                                    1
brake                                                     1
disrupt                                                   1
keep                                                      2
solve                                                     1
spinning                                                  1
fades                                                     1
dont                                                      1
frame                                                     1
no                                                        7
everybody                                                 1
searching                                                 1
for                                                       1
cause                                                     1
faith                                                     3
back                                                      1
reaching                                                  1
disappear                                                 1
around                                                    1
life                                                      2
button                                                    1
head                                                      1
can                                                       1
benjamin                                                  1
not                                                       2
times                                                    15
negative                                                  1
public                                                    1
and                                                       5
now                                                       3
of                                                       17
oh                                                        1
savage                                                    1
just                                                      4
every                                                     1
make                                                      6
fight                                                     4
direction                                                 1
blah                                                      1
louder                                                    1
or                                                        3
conquer                                                   1
drifting                                                  1
supa                                                      1
blocks                                                    1
stars                                                     1
clean                                                     1
way                                                       1
with                                                      2
truth                                                     1
betray                                                    2
short                                                     1
time                                                      1
fence                                                     1
